"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01189030",2017-10-12,2017-10-12 14:30:00,382,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01189030",2017-10-12,2017-10-12 14:30:00,358,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01170100",2017-07-05,2017-07-05 14:30:00,60,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184490",2017-08-10,2017-08-10 12:15:00,240,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01189995",2017-06-15,2017-06-15 16:50:00,109,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"CT_DEP01_WQX-14414",2013-09-17,2013-09-17 17:21:00,279,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01192500",2017-10-26,2017-10-26 16:15:00,139,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192500",2017-10-26,2017-10-26 16:15:00,123,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01124000",2017-07-24,2017-07-24 12:30:00,153,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01124000",2017-07-24,2017-07-24 12:30:00,133,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01174575",1985-10-08,1985-10-08 17:30:00,27,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01208500",2020-09-14,2020-09-14 14:45:00,296,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01208500",2020-09-14,2020-09-14 14:45:00,289,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-15857",2013-10-02,2013-10-02 16:36:00,105.999947,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01183610",2020-08-17,2020-08-17 18:00:00,132,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01183610",2020-08-17,2020-08-17 18:00:00,125,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-17746",2013-09-30,2013-09-30 14:04:00,98,"mgLTDS","Total dissolved solids",NA,NA,NA,1
"USGS-01127000",2017-06-05,2017-06-05 13:45:00,99,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01127000",2017-06-05,2017-06-05 13:45:00,78,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-16011112",2013-04-01,2013-04-01 14:00:00,45,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"USGS-01127000",2017-07-11,2017-07-11 13:45:00,88,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01196500",2017-09-19,2017-09-19 13:30:00,304,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"21NYDECA_WQX-16011112",2013-10-28,2013-10-28 16:15:00,69,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"USGS-01209710",2017-09-05,2017-09-05 16:10:00,288,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01209710",2017-09-05,2017-09-05 16:10:00,247,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01184000",2017-05-23,2017-05-23 14:10:00,58,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01125100",2020-08-12,2020-08-12 15:15:00,215,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01196500",2017-08-03,2017-08-03 14:00:00,179,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01188000",2017-10-12,2017-10-12 12:45:00,108,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01170100",2017-04-12,2017-04-12 12:50:00,28,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"21NYDECA_WQX-16011112",2013-07-30,2013-07-30 15:30:00,72,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"CT_DEP01_WQX-16139",2013-10-08,2013-10-08 19:24:00,37.999988,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"21NYDECA_WQX-16011112",2013-07-08,2013-07-08 15:15:00,56,"mgLTDS","Total dissolved solids",NA,NA,"Total",1
"USGS-01118500",1985-08-15,1985-08-15 13:00:00,76,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"CT_DEP01_WQX-15015",2013-10-01,2013-10-01 17:21:00,134,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01198125",2017-07-26,2017-07-26 14:00:00,225,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01119375",2018-05-09,2018-05-09 12:45:00,91,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"USGS-01119375",2018-05-09,2018-05-09 12:45:00,89,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",1
"USGS-01209710",2020-09-28,2020-09-28 14:30:00,337,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",1
"21NYDECA_WQX-16011112",2013-06-03,2013-06-03 15:10:00,58,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"USGS-01192050",2017-09-25,2017-09-25 19:15:00,175,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01184490",2017-10-31,2017-10-31 14:00:00,144,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184490",2017-10-31,2017-10-31 14:00:00,116,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01200600",2020-07-27,2020-07-27 14:30:00,228,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01200600",2020-07-27,2020-07-27 14:30:00,234,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"21NYDECA_WQX-16011112",2013-04-22,2013-04-22 14:30:00,66,"mgLTDS","Total dissolved solids",NA,NA,"Total",0
"CT_DEP01_WQX-15796",2013-10-01,2013-10-01 15:56:00,50.999999,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-01184000",2020-03-11,2020-03-11 14:00:00,79,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01184000",2020-03-11,2020-03-11 14:00:00,65,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
